"0","@jaay89 A few guests for lunch but nobody staying - yet. Must be a bugger for Shaun stuck inside on a day like this "
"0","is loving this gorgeous weather!!!! Found our kitty yesterday...yay! Anyone have any tips on how to force an 11 year old to go to school? "
"0","working for uni...uff! "
"0","happy kid's day to everyoine, that's my last one "
"0","I apparently can't figure out how to text pictures to Twitter.  "
"0","@aiondev01 ah cmon dont stop now  more pseudo devs!! =D"
"0","I just drove all around downtown because the bank turned out to be closed. Guess they changed their hours. "
"0","was so ridiculously sick last night "
"0","@dany_5hn Ahhh.. right now i wanna watch New Moon. But it's on 20 November.  I cant wait to watch it! AHHHHH! :S"
"0","46 folowers_me  @edo1410"
"0","@celinehlbk yeah this is VERY WEIRD, specially nowadays that we have all that tecnology thing :? i hope they find it asap "
"0","had a good weekend with friends, had a lot in thought and bummed that the Cavs didn't get to the finals. "
"0","@SouthernCharm  I think that might one of the reasons that she lost!  "
"0","eeek I wish I knew when the Microsoft briefing thing was and what channel G4 is for me. Since it's such a shit channel, I have no clue  "
"0","Nevermind- The Keg in Barrie is closed for renovations  - thanks for the heads up Creasor!"
"0","oh wow. So basically I'm not gonna talk for the rest of the day.  Except for tonight. I have a phone call to make ;)"
"0","@DjYasmin Just heard it, sounds SICK! You've just given us another thing to get done  Hope you had a good holiday!"
"0","oh my god...it's only 11!! "
"0","oh man, last thing i need is the power to go out today "
"0","http://twitpic.com/6ej8c - a snake got into my birdhouse "
"0","Lower back hurts today - sure sign of being out of shape again.    When to get back into the gym?"
"0","@Kaasimisgrindin I'm at work "
"0","@Gerard4king im extremely hungover and at work. Double fail. "
"0","@stujmiller Poor little mite  Well, at least it's over with at this age. My uncle's never had it and gets very paranoid about it now!"
"0","I really don't wanna do my hmwk "
"0","I have been ultimatum'd. If I don't get a job soon, the parentals are coming to take me home. "
"0","Hope it int my parents on the missing flight!! "
"0","wasnt kent at all, goodle liiiesss staying in the coach with no windows for 1hour and half  yesssss season ticket north lower"
"0","is in need of coffee  http://plurk.com/p/xo9nj"
"0","prednisone, azithromycin AND hydroxyzine "
"0","@CosgroveMiranda hey! my sis and i are such huge fans! especially my sis. she tried sending a video to icarly.com but it couldn't load. "
"0","@YoungQ aw man, i cant get in the chat here @ work, im blocked!  this sucks big time!"
"0","@r0per16 hmm.. My curve isn't happy with that site..  I'll ck it out later."
